site_location,DEPOT,GOVERNORS ISLAND,4 SOUTH STREET - WHITEHALL FERRY TERMINAL,COURTYARD WEST,PIER 40 DOG RUN,PIER 40 COURTYARD AND TUNNEL,PIER 45,PIER 51,PIER 57,PIER 40,CHELSEA WATERSIDE PARK FIELD,CHELSEA WATERSIDE PARK PLAYGROUND,PIER 66 SEATING AREA,1 RANDALLS ISLAND PARK,RANDALLS ISLAND,RIVERSIDE DR TO BROADWAY W 192 ST TO DYCKMAN ST,BROADWAY AND ARDEN,DYKMAN ST AND HUDSON RIVER,765 MANIDA ST - HUNTS POINT RECREATION CENTER,161-164 WALTON AVE - JOYCE KILMER PARK,2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,BRONX ZOO - THROUGHOUT THE ZOO,2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,6301 RIVERDALE AVE - CAMPUS WIDE,ORCHARD BEACH ROAD - BOATHOUSE,ORCHARD BEACH ROAD - PELHAM PLAYGROUND,ORCHARD BEACH ROAD - BASKETBALL COURT AREA,2551 WESTCHESTER AVE - OWEN DOLEN REC CENTER,FRONT ST AND JAY ST,210 JORALEMON ST - INSIDE BUILDING,141 LIVINGSTON ST - INSIDE BUILDING,120 SCHERMERHORN ST - INSIDE BUILDING,PEARL STREET TRIANGLE,ARCHWAY ON ADAMS STREET SIDE,OLD FULTON PLAZA,450 FLATBUSH AVE - PP ZOO,990 WASHINGTON AVE - BBG,1555 LINDEN BLVD,NY AQUARIUM,FLOYD BENNETT FIELD TRAINING CENTER,PASSERELLE CIRCLE - FLUSHING MEADOW PARK,FLUSHING MEADOW PARK PLAYGROUNDS,QUEENS HALL OF SCIENCE,QUEENS ZOO,QUEENS THEATRE,QUEENS MUSEUM,AL ORTER RECREATION CENTER,93-29 QUEENS BLVD - LBH RECREATION CENTER,43-50 MAIN ST - QUEENS BOTANICAL GARDEN,KISSENA BLVD AND HORACE HARDING EXPRESSWAY,N/W/C 150 STREET / MELBOURNE AVE,177-01 BAISLEY BLVD - ROY WILKINS PARK,133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,106-16 173RD ST - DETECTIVE KEITH WILLIAMS REC CENTER,WINCHESTER BLVD & GRAND CENTRAL PARKWAY,WINCHESTER BLVD & UNION TURNPIKE,B95TH ST / BEACH - ROCKAWAY BEACH,B92ND ST / BEACH - ROCKAWAY BEACH,B17TH ST / BEACH - ROCKAWAY BEACH,B13TH ST / BEACH - ROCKAWAY BEACH,6 VICTORY BLVD - LYONS POOL,CLOVE RD AND CHESHIRE PL,CLOVE RD AND VICTORY BLVD,DAVIS AVE AND DELAFIELD AVE,SNUG HARBOR CULTURAL CENTER,2800 VICTORY BLVD - COLLEGE OF STATEN ISLAND,625 FATHER CAPODANNO BLVD - OCEAN BREEZE,700 ROCKLAND AVE - GREENBELT NATURE CENTER,IFO 1617 RICHMOND ROAD - NYPL DONGAN HILLS,NEW DORP LANE - MILLER FIELD COMPLEX,IFO 222 POLLION AVE - BLUE HERON NATURE CENTER,FRESH KILLS PARK VISITOR CENTER,GREAT KILLS PARK
PEARL STREET TRIANGLE,5705.8,5198.1,4385.8,6190.9,4505.1,3872.8,6125.9,5545.1,5876.8,3872.8,6078.6,6091.2,7547.6,16255.6,16255.6,20696.9,23024.5,23175.5,19538.7,18281.7,26266.4,22502.3,22545.8,28969.6,31962.0,32417.3,32432.7,25490.1,4508.0,5092.4,5052.5,5504.6,0.0,4900.2,5596.4,8124.1,8110.3,13786.5,21005.1,23152.7,18223.4,18375.2,18657.4,18184.3,18331.7,18076.0,18291.3,14499.3,18514.9,20609.7,19298.2,28211.8,26981.1,23561.6,31184.1,29396.5,29857.4,29680.8,36386.4,36263.2,27801.6,24626.1,24744.5,27988.6,28353.1,28382.6,22527.0,26083.8,24566.9,27936.0,36207.4,38903.3,30814.3
ARCHWAY ON ADAMS STREET SIDE,1795.6,5112.9,4300.6,7103.2,5353.0,4720.7,7038.2,6457.4,6724.7,4720.7,6926.5,6939.1,8395.5,18880.6,18880.6,21544.8,24273.4,24424.4,22316.3,22567.5,29256.3,26335.2,26378.8,27839.6,32902.4,33357.7,33373.0,27013.3,190.3,1606.3,1544.3,2018.4,1727.7,0.0,794.0,4869.4,5368.1,11491.2,16384.8,19898.0,17188.4,17340.2,17622.4,17149.3,17296.7,17041.0,17256.3,13464.3,17479.9,19574.7,18263.2,27176.8,25946.1,22526.6,30149.1,28361.5,26602.7,26426.1,35351.4,35228.2,23181.3,20005.8,20124.2,23368.3,23732.8,23762.3,17906.7,21463.5,19946.6,23315.7,31587.1,34283.0,26194.0
OLD FULTON PLAZA,2260.8,5578.0,4765.7,7568.3,5818.1,5185.8,7503.3,6922.6,7189.9,5185.8,7391.6,7404.3,8860.6,19345.8,19345.8,22009.9,24738.5,24889.5,22781.4,23032.7,29721.5,26800.3,26843.9,28304.7,33367.5,33822.8,33838.2,27478.4,796.1,1732.6,1843.4,2077.0,2154.0,605.8,0.0,5486.3,5853.1,14667.3,15888.7,22542.8,17653.6,17805.4,18087.5,17614.4,17761.8,17506.1,17721.4,13929.4,17945.1,20039.8,18728.3,27641.9,26411.3,22991.7,30614.3,28826.6,29247.5,29070.9,35816.5,35693.3,22685.2,19509.8,19628.1,22872.3,23236.7,23266.2,17410.6,20967.5,19450.6,22819.7,31091.0,33786.9,25698.0
450 FLATBUSH AVE - PP ZOO,5925.2,9242.5,9201.9,10439.7,8971.8,8339.5,10374.7,9793.9,10343.5,8339.5,10545.3,10557.9,12014.3,20951.2,20951.2,29689.5,29662.2,29813.2,24386.9,24638.1,31326.9,28405.8,28449.4,35437.8,34973.0,35428.3,35443.6,29083.9,4765.6,3886.7,3532.6,3632.3,4661.5,5157.9,5212.7,0.0,1168.3,7153.2,11842.9,15028.7,19259.0,19410.8,19693.0,19219.9,19367.3,19111.6,19326.9,15534.9,19550.5,21645.3,20333.8,21306.7,20079.9,17317.1,27168.7,26260.3,21733.3,21556.7,27128.1,27004.9,19813.6,16638.2,16756.5,20000.6,20365.1,20394.6,14539.0,18095.9,16579.0,19948.0,28219.4,30915.3,22826.4
990 WASHINGTON AVE - BBG,6483.6,9800.8,9142.9,10938.6,9470.7,8838.4,10873.6,10292.8,10842.5,8838.4,11044.2,11056.8,12513.2,19782.9,19782.9,28521.2,28493.8,28644.8,23218.6,23469.8,30158.6,27237.4,27281.0,34269.5,33804.7,34260.0,34275.3,27915.5,5214.3,3827.7,3473.5,3592.1,5251.1,6901.8,6639.3,1168.3,0.0,6672.9,12312.5,15498.3,18090.7,18242.5,18524.6,18051.5,18199.0,17943.2,18158.6,14366.6,18382.2,20477.0,19165.4,20826.5,19599.7,16096.1,25947.8,25039.3,22203.0,22026.4,26647.9,26524.7,20283.3,17107.8,17226.1,20470.3,20834.7,20864.2,15008.6,18565.5,17048.6,20417.7,28689.0,31384.9,23296.0
1555 LINDEN BLVD,15626.8,16761.4,15300.7,19415.2,17665.0,17032.7,19350.2,18769.5,19036.8,17032.7,19238.5,19251.1,20707.5,19668.1,19668.1,28406.4,28379.0,28530.0,23103.8,23355.0,31891.2,30069.5,30113.1,34154.7,32310.1,32765.4,32780.7,26420.9,11594.6,10725.2,10371.1,10470.8,11500.0,14728.9,13019.6,6838.5,6360.1,0.0,12865.8,12626.6,21196.3,22106.7,21630.3,21157.2,21304.6,21048.9,15414.9,11881.9,15638.6,17745.3,18561.5,14970.6,13743.8,15599.8,22747.1,24408.4,16190.6,16028.7,20792.0,20668.8,24145.9,20970.5,21088.8,24332.9,24697.4,24726.9,18871.3,22428.1,20911.3,24280.3,32551.7,35247.6,27158.6
NY AQUARIUM,17580.0,18714.5,17253.9,21368.4,19618.1,18985.9,21303.4,20722.6,20989.9,18985.9,21191.6,21204.3,22660.6,31732.8,31732.8,35810.0,36940.8,36408.1,35168.4,35419.7,48680.8,46859.1,46902.7,42104.8,49099.7,49555.0,49570.3,43210.5,16585.7,15676.6,14457.9,14215.1,17307.6,16682.0,16655.7,11617.4,11949.9,13121.8,0.0,11164.9,32665.5,33575.9,33099.5,32626.4,32773.8,32518.1,32204.6,26015.7,32428.2,32392.2,30030.7,25414.2,25161.7,27069.0,38271.1,35826.3,17869.6,17693.0,23413.7,23160.5,19214.1,16038.7,16157.0,19401.1,19765.6,19795.1,13939.5,17496.3,15979.5,19348.5,27619.9,30315.8,22226.8
FLOYD BENNETT FIELD TRAINING CENTER,23735.0,24869.6,23408.9,27523.4,25773.2,25140.9,27458.4,26877.6,27145.0,25140.9,27346.7,27359.3,28815.7,40006.6,40006.6,49378.5,49474.0,49976.7,43442.2,43693.5,45146.1,43324.5,43368.0,53126.2,45565.0,46020.3,46035.6,39675.9,22740.8,18833.4,18479.2,18579.0,19608.2,22837.1,21918.5,14946.7,15279.2,12729.2,12037.3,0.0,29130.9,30041.2,29564.8,29091.7,29239.1,28983.4,28669.9,22481.0,28893.5,28857.5,26496.0,21879.5,21627.0,23534.3,34736.4,32291.6,10563.7,10387.1,16107.8,15854.7,29042.9,25867.4,25985.7,29229.9,29594.3,29623.8,23768.2,27325.1,25808.2,29177.3,37448.6,40144.5,32055.6
PASSERELLE CIRCLE - FLUSHING MEADOW PARK,19167.1,22242.1,21429.8,19354.3,19521.3,18889.1,19289.2,18708.5,18379.2,18889.1,17847.4,17834.8,17926.4,12023.2,12023.2,22233.7,20734.2,22831.8,15458.9,15710.1,18001.2,16179.6,16223.2,25981.3,18420.1,18875.4,18890.8,12531.0,18334.9,17975.3,17935.3,18387.5,17903.4,18144.7,17882.2,19589.6,18421.2,20345.9,32257.9,29337.8,0.0,1521.9,1045.4,39.2,153.4,147.5,1972.5,4661.4,2461.5,4385.1,3860.2,14289.3,13058.6,9639.1,17261.6,13958.5,24994.0,24832.2,22463.9,22340.7,40087.3,36911.9,37030.2,40274.4,40638.8,40668.3,34812.7,38369.6,36852.7,40221.8,48493.1,51189.0,43100.1
FLUSHING MEADOW PARK PLAYGROUNDS,17645.2,20720.2,19907.9,17832.4,17999.5,17367.2,17767.4,17186.6,16857.3,17367.2,16325.5,16312.9,16404.5,13788.9,13788.9,23730.8,23826.3,24328.9,17224.6,17475.8,19498.4,17676.7,17720.3,27478.4,19917.3,20372.6,20387.9,14028.1,16813.0,16453.4,16413.5,16865.6,16381.5,16622.8,16360.3,18067.7,16899.3,18824.0,30736.0,27815.9,2913.2,0.0,2209.9,2874.0,3021.4,2765.7,2981.1,3139.5,3204.7,5303.6,3992.1,12767.4,11536.8,8117.2,15739.7,14831.3,23472.1,23310.3,20942.0,20818.8,38565.5,35390.0,35508.3,38752.5,39116.9,39146.4,33290.8,36847.7,35330.8,38699.9,46971.2,49667.1,41578.2
QUEENS HALL OF SCIENCE,18483.0,21558.0,20745.7,18670.2,18837.3,18205.0,18605.2,18024.4,17695.1,18205.0,17163.4,17150.7,17242.4,12437.2,12437.2,22647.6,21148.1,23245.8,15872.9,16124.1,18415.2,16593.6,16637.1,26395.3,18834.1,19289.4,19304.8,12945.0,17650.9,17291.2,17251.3,17703.4,17219.3,17460.6,17198.2,18905.5,17737.2,19661.9,31573.9,28653.8,1025.5,837.9,0.0,986.3,1133.7,878.0,3818.9,3977.4,4042.5,6141.5,4830.0,13605.3,12374.6,8955.1,16577.6,15669.1,24310.0,24148.2,21779.9,21656.6,39403.3,36227.9,36346.2,39590.3,39954.8,39984.3,34128.7,37685.5,36168.7,39537.7,47809.1,50505.0,42416.1
QUEENS ZOO,19127.9,22202.9,21390.6,19315.1,19482.2,18849.9,19250.1,18669.3,18340.0,18849.9,17808.3,17795.6,17887.3,11984.1,11984.1,22194.5,20695.0,22792.6,15419.7,15671.0,17962.1,16140.4,16184.0,25942.1,18381.0,18836.3,18851.6,12491.8,18295.8,17936.1,17896.2,18348.3,17864.2,18105.5,17843.0,19550.4,18382.1,20306.8,32218.7,29298.6,39.2,1482.7,1006.3,0.0,147.4,108.3,2011.6,4622.3,2500.6,4346.0,3899.3,14250.1,13019.5,9599.9,17222.5,13997.6,24954.9,24793.0,22424.8,22301.5,40048.2,36872.7,36991.1,40235.2,40599.7,40629.2,34773.6,38330.4,36813.5,40182.6,48454.0,51149.9,43060.9
QUEENS THEATRE,19275.3,22350.3,21538.0,19462.5,19629.6,18997.3,19397.5,18816.7,18487.4,18997.3,17955.7,17943.0,18034.7,12131.5,12131.5,22341.9,20842.4,22940.0,15567.2,15818.4,18109.5,16287.8,16331.4,26089.5,18528.4,18983.7,18999.0,12639.2,18443.2,18083.5,18043.6,18495.7,18011.6,18252.9,17990.5,19697.8,18529.5,20454.2,32366.1,29446.1,153.4,1630.1,1153.7,147.4,0.0,255.7,2125.9,4769.7,2614.8,4493.4,4013.6,14397.6,13166.9,9747.4,17369.9,14111.9,25102.3,24940.4,22572.2,22448.9,40195.6,37020.2,37138.5,40382.6,40747.1,40776.6,34921.0,38477.8,36960.9,40330.0,48601.4,51297.3,43208.3
QUEENS MUSEUM,19019.6,22094.6,21282.3,19206.8,19373.9,18741.6,19141.8,18561.0,18231.7,18741.6,17700.0,17687.3,17779.0,11875.8,11875.8,22086.2,20586.7,22684.3,15311.4,15562.7,17853.8,16032.1,16075.7,25833.8,18272.7,18728.0,18743.3,12383.5,18187.5,17827.8,17787.9,18240.0,17755.9,17997.2,17734.8,19442.1,18273.8,20198.5,32110.4,29190.3,147.5,1374.4,898.0,108.3,255.7,0.0,2119.9,4514.0,2608.9,4237.7,4007.6,14141.8,12911.2,9491.7,17114.2,16205.7,24846.6,24684.7,22316.5,22193.2,39939.9,36764.4,36882.8,40126.9,40491.4,40520.9,34665.3,38222.1,36705.2,40074.3,48345.7,51041.6,42952.6
AL ORTER RECREATION CENTER,19272.7,22347.7,21535.4,19459.9,19627.0,18994.7,19394.9,18814.1,18484.8,18994.7,17953.1,17940.4,18032.1,14480.8,14480.8,22178.1,22273.6,22776.2,17263.8,18167.7,17945.7,16124.0,16167.6,25925.7,18364.6,18819.9,18835.2,12475.4,18440.6,18080.9,18041.0,18493.1,18009.0,18250.3,17987.9,19695.2,18526.9,19734.6,31646.6,28726.5,1972.5,4808.0,4039.1,2011.6,2125.9,2119.9,0.0,5080.1,744.5,1905.3,3201.4,13678.0,12447.3,9054.7,14519.0,13918.4,24382.7,24220.9,21852.6,21729.3,40193.0,37017.5,37135.9,40380.0,40744.5,40774.0,34918.4,38475.2,36958.3,40327.4,48598.8,51294.7,43205.7
93-29 QUEENS BLVD - LBH RECREATION CENTER,15621.2,18696.2,17883.9,15808.4,15975.5,15343.2,15743.4,15162.6,14833.3,15343.2,14301.6,14288.9,14380.6,11362.5,11362.5,25054.7,20073.4,20224.4,14798.1,15049.4,20822.3,19000.6,19044.2,25849.1,21241.2,21696.5,21711.8,15352.0,14789.1,14429.4,14389.5,14841.6,14357.5,14598.8,14336.4,16043.7,14875.4,12538.8,32194.0,29274.0,4237.1,5147.5,4671.0,4197.9,4345.4,4089.6,4305.0,0.0,4528.6,6623.4,5311.8,14225.5,12994.8,9575.3,17197.8,15410.1,18711.8,18549.9,22400.1,22276.8,36541.5,33366.0,33484.4,36728.5,37093.0,37122.5,31266.9,34823.7,33306.8,36675.9,44947.3,47643.2,39554.2
43-50 MAIN ST - QUEENS BOTANICAL GARDEN,19255.8,22330.8,21518.5,19443.0,19610.1,18977.8,19378.0,18797.2,18467.9,18977.8,17936.2,17923.5,18015.1,14463.9,14463.9,22161.2,22256.7,22759.3,17246.9,18150.8,17928.8,16107.1,16150.7,25908.8,18347.7,18803.0,18818.3,12458.5,18423.7,18064.0,18024.1,18476.2,17992.1,18233.4,17970.9,19678.3,18510.0,19717.7,31629.7,28709.6,2452.8,4849.6,4022.2,2492.0,2606.2,3440.8,1092.4,5063.2,0.0,1408.6,2824.8,13661.1,12430.4,9037.7,13525.9,12925.2,24365.8,24204.0,21835.7,21712.4,40176.1,37000.6,37119.0,40363.1,40727.6,40757.1,34901.5,38458.3,36941.4,40310.5,48581.8,51277.8,43188.8
KISSENA BLVD AND HORACE HARDING EXPRESSWAY,21240.8,24315.8,23503.5,21428.0,21595.1,20962.8,21363.0,20782.2,20452.9,20962.8,19921.1,19908.5,20000.1,14035.9,14035.9,21288.2,21383.7,21886.4,16374.0,17722.8,17055.8,15234.2,15277.7,25035.9,17474.7,17930.0,17945.4,11585.6,20408.6,20049.0,20009.1,20461.2,19977.1,20218.4,19955.9,21663.3,20495.0,19541.8,31453.7,28533.6,5586.5,5697.4,6020.4,5547.3,5694.7,5439.0,2460.7,7048.1,1409.0,0.0,2655.6,13485.1,12254.5,6985.2,12520.9,11920.2,24189.9,24028.0,21659.8,21536.5,42161.1,38985.6,39104.0,42348.1,42712.5,42742.0,36886.4,40443.3,38926.4,42295.5,50566.8,53262.7,45173.8
N/W/C 150 STREET / MELBOURNE AVE,20097.1,23172.1,22359.8,20284.3,20451.4,19819.1,20219.3,19638.5,19309.2,19819.1,18777.4,18764.8,18856.4,15318.5,15318.5,23961.1,24056.6,24559.2,18754.2,19005.4,19728.7,17907.0,17950.6,27708.7,20147.6,20602.9,20618.2,14258.4,19264.9,18905.3,18865.4,19317.5,18833.4,19074.7,18812.2,20519.6,19351.2,17209.7,29121.7,26201.6,4442.8,5353.2,4876.7,4403.6,4551.0,4295.3,3210.5,5904.4,3425.5,2667.6,0.0,11153.1,9922.4,5464.3,12070.0,11469.4,21857.8,21696.0,19327.7,19204.4,41017.4,37841.9,37960.2,41204.4,41568.8,41598.3,35742.7,39299.6,37782.7,41151.8,49423.1,52119.0,44030.1
177-01 BAISLEY BLVD - ROY WILKINS PARK,30043.8,33118.8,32306.5,30231.0,30398.1,29765.8,30166.0,29585.2,29255.9,29765.8,28724.2,28711.5,28803.1,24593.7,24593.7,32265.9,32361.4,32864.0,27368.6,28280.5,28033.5,26211.8,26255.4,36013.5,26797.2,27252.5,27267.9,24262.9,29211.7,28852.0,28812.1,29264.2,28780.1,29021.4,28758.9,20400.2,19921.9,13681.0,25593.0,22672.9,13717.9,14628.3,14151.9,13678.8,13826.2,13570.5,13257.0,15851.2,13480.6,13444.6,11083.1,0.0,2492.2,3462.0,11857.8,9399.7,17728.8,17868.6,12408.7,12285.4,42598.6,39423.1,39541.5,42785.6,43150.0,43179.5,37323.9,40880.8,39363.9,42733.0,51004.3,53700.2,45611.3
133-39 GUY BREWER BLVD - VIC HANSEN REC CENTER,29046.4,32121.4,31309.1,29233.6,29400.7,28768.4,29168.6,28587.8,28258.5,28768.4,27726.8,27714.1,27805.7,23596.2,23596.2,32968.2,33063.7,33566.3,27031.9,27283.1,28735.8,26914.1,26957.7,36715.8,29154.7,29610.0,29625.3,23265.5,28214.3,27854.6,27814.7,28266.8,27782.7,28024.0,27761.5,19502.5,19024.2,12783.3,24695.3,21775.2,12720.5,13630.9,13154.5,12681.4,12828.8,12573.1,12259.5,14853.7,12483.2,12447.2,10085.7,2096.3,0.0,3962.9,15950.1,13505.3,15953.9,16093.7,10633.8,10510.6,41700.9,38525.4,38643.8,41887.9,42252.3,42281.8,36426.2,39983.1,38466.2,41835.3,50106.6,52802.5,44713.6
